train_loss: 1.5927602211634317,val_loss: 1.5823336720466614, val_perplexity: 4.866298916297593
train_loss: 1.5922619263331095,val_loss: 1.5596270243326822, val_perplexity: 4.757046651568985
train_loss: 1.5906082232793173,val_loss: 1.5599838336308798, val_perplexity: 4.758744312898887
train_loss: 1.6053150137265524,val_loss: 1.5808111071586608, val_perplexity: 4.85889529810793
train_loss: 1.583902362982432,val_loss: 1.5608056386311848, val_perplexity: 4.762656680151697
train_loss: 1.5970457077026368,val_loss: 1.5874791661898295, val_perplexity: 4.8914029598367135
train_loss: 1.619832746187846,val_loss: 1.562016455332438, val_perplexity: 4.768426877022768
train_loss: 1.586933473745982,val_loss: 1.5871067961057028, val_perplexity: 4.8895818867826675
train_loss: 1.5893959800402324,val_loss: 1.559037939707438, val_perplexity: 4.7542451737597435
train_loss: 1.5967010895411173,val_loss: 1.5669754544893901, val_perplexity: 4.792132230720909
train_loss: 1.5719375451405844,val_loss: 1.594295334815979, val_perplexity: 4.924857473507594
train_loss: 1.5856611649195353,val_loss: 1.5524370034535726, val_perplexity: 4.7229660537464895
train_loss: 1.5796637694040934,val_loss: 1.5720216989517213, val_perplexity: 4.816375619039341
train_loss: 1.549476957321167,val_loss: 1.5812305331230163, val_perplexity: 4.86093367239771
train_loss: 1.5639832099278768,val_loss: 1.556251883506775, val_perplexity: 4.741018013875212
train_loss: 1.5620832284291586,val_loss: 1.5703095952669779, val_perplexity: 4.808136539686536
train_loss: 1.5815754055976867,val_loss: 1.5688254117965699, val_perplexity: 4.801005675974882
